Date,F_trend_sma,F_momentum_rsi,F_volat_bb,F_volume_obv
2010-04-05,-0.011048285351665132,0.6833075772278266,0.025028739092072944,-0.08201640328065618
2010-04-06,-0.00042452767268641445,0.7226481096997791,0.017707123159811024,0.2514709086947047
2010-04-07,-0.0008101471978906316,0.7226481096997791,0.015973335007973377,0.0
2010-04-08,-0.002855699697587144,0.7024077628758458,0.016059868178951973,0.0
2010-04-09,0.0017362568287486724,0.7193378516493665,0.016114567324757603,0.02176562772070345
2010-04-12,0.003241314413546137,0.7249559374146399,0.016229482579778694,0.018404907975460016
2010-04-13,-0.013050976866682773,0.5860199411974527,0.02036478545896513,-0.03999330655957167
2010-04-14,0.003822308442079425,0.6568438157198799,0.0206215446146933,0.11835454070071472
2010-04-15,-0.01174458248029897,0.5586039332926136,0.023400827146203222,-0.03179551122194513
2010-04-16,-0.025692769552270955,0.48430985279910416,0.03349941539885508,-0.023824855119124244
2010-04-19,-0.011074118984517156,0.5431948868096473,0.03504733639351699,0.014182058047493395
2010-04-20,-0.008949549420782077,0.5493527412614698,0.036011968809807914,0.014471544715447093
2010-04-22,-0.014231955502336358,0.5192053057599262,0.038317913273544744,-0.0575412726398461
2010-04-23,-0.02368929813829368,0.47054083837657645,0.04425347511919784,-0.1311224489795918
2010-04-26,-0.010916488378796774,0.5209510804533528,0.04268258354486442,0.012526913290272113
2010-04-27,-0.009822633441529227,0.5209510804533528,0.04243072066986134,0.0
2010-04-28,-0.00891950860277535,0.5209510804533528,0.042561451825839806,0.0
2010-04-29,-0.016036702812394554,0.47802248943585335,0.043672634274121894,-0.014884979702300405
2010-04-30,-0.024512645220484686,0.43264510392603384,0.04880966908540394,-0.05259026687598112
2010-05-03,0.003396427893985976,0.5550948475767283,0.04747857923764612,0.0
2010-05-04,-0.034004327500470444,0.4167260459046643,0.05732333007381861,-0.07249378624689318
2010-05-05,-0.04287741204591522,0.385666609684304,0.06881768497222868,-0.027467619472979043
2010-05-06,-0.04371413804590385,0.37561700062319553,0.07854688486146266,-0.003903559127439671
2010-05-07,-0.08610035376326686,0.28099344784837493,0.11173913079742669,-0.2570308898109728
2010-05-10,-0.04349838863787281,0.41140103719837384,0.11613114639077414,0.018305926155755436
2010-05-11,-0.046595843143787286,0.3971528961498716,0.12014443607432139,-0.01675807434491161
2010-05-12,-0.04408878490036372,0.3955139355981525,0.12583028724543974,-0.022311744654477828
2010-05-13,-0.03529626713490419,0.4112145234206201,0.12415612817481385,0.009508716323296307
2010-05-14,-0.032116545876599956,0.4112145234206201,0.12492313304530756,0.0
2010-05-17,-0.03356619792374527,0.40114471429334814,0.12810757346403503,-0.03830455259026688
2010-05-18,-0.053533616268275575,0.34634130638823984,0.13420565165386095,-0.04015670910871694
2010-05-19,-0.07482047772145772,0.29809737673686354,0.14715549855753152,-0.08265306122448979
2010-05-20,-0.12231433170115236,0.22850284727867742,0.18372882047956376,-0.4590285502410085
2010-05-21,-0.11439423998833564,0.23138691392073882,0.21108223263434314,0.0712816997943797
2010-05-24,-0.08334032100855315,0.311745585544117,0.21961312413347137,0.10428662827895074
2010-05-25,-0.07800511477190664,0.3093435973209453,0.22428205609119545,-0.15469293163383546
2010-05-26,-0.08554836822965717,0.2878467280749744,0.22918628044025813,-0.44002741603838247
2010-05-27,0.0036886150743007384,0.4969810643731354,0.21885036538290575,0.6793145654834762
2010-05-28,0.00692785478837421,0.4969810643731355,0.21004518620133028,0.0
2010-05-31,0.0035036686011138407,0.4806126896756877,0.18800078199685114,-0.007288629737609353
2010-06-01,-0.04219222839552317,0.39743926470468016,0.1834162101397328,-0.022760646108663685
2010-06-02,-0.0017018004393393182,0.46949629768774204,0.17594560826276692,0.1044327573253192
2010-06-04,-0.006303543663846778,0.457173635004239,0.16854760551034245,-0.01224489795918371
