Date,F_trend_sma,F_momentum_rsi,F_volat_bb,F_volume_obv
2000-11-27,-0.3143916586478293,0.0,-0.4030916400519406,-0.08908705063748487
2000-11-28,-0.31304906218269907,0.0,-0.4012697987558675,-0.08873562094162149
2000-11-29,-0.31172353411409615,0.0,-0.3994724679956665,-0.0883883176483286
2000-11-30,-0.3104147155767122,0.0,-0.39769910251523244,-0.08804506063257257
2000-12-01,-0.3091222581870377,0.0,-0.3959491739041843,-0.08770577193071316
2000-12-04,-0.3078458236527734,2.2204460343280248e-08,-0.39422216993411346,-0.08737037566611407
2000-12-05,-0.3065850833998928,0.0,-0.392517593926538,-0.08703879797785923
2000-12-06,-0.305339718216421,0.0,-0.39083496415078667,-0.08671096695242235
2000-12-07,-0.3041094179120518,2.2204460338935485e-08,-0.38917381325015155,-0.0863868125581464
2000-12-08,-0.30289388099277587,0.0,-0.3875336876947536,-0.08606626658239747
2000-12-11,-0.3016928143497445,0.0,-0.38591414725966267,-0.08574926257126489
2000-12-12,-0.30050593296163797,0.0,-0.3843147645269057,-0.0854357357716866
2000-12-13,-0.29933295960985107,0.0,-0.3827351244100803,-0.0851256230758854
2000-12-14,-0.2981736246058479,0.0,-0.38117482370037137,-0.08481886296800767
2000-12-15,-0.2970276655300765,0.0,-0.3796334706328398,-0.08451539547286227
2000-12-18,-0.2958948269818678,0.0,-0.3781106844719219,-0.08421516210666255
2000-12-19,-0.2947748603397771,2.2204460337692676e-08,-0.3766060951151417,-0.08391810582967961
2000-12-20,-0.29366752353185616,0.0,-0.3751193427140968,-0.08362417100071981
2000-12-21,-0.2925725808153723,2.2204460333375782e-08,-0.3736500773118355,-0.0833333033333441
2000-12-22,-0.29148980256552076,0.0,-0.37219795849579324,-0.08304544985375079
2000-12-25,-0.29041896507269754,0.0,-0.370762655065504,-0.08276055886024763
2000-12-26,-0.28935985034792516,0.0,-0.3693438447143514,-0.08247857988424313
2000-12-27,-0.2883122459360493,0.0,-0.3679412137246602,-0.08219946365268957
2000-12-28,-0.28727594473633944,0.0,-0.3665544566754746,-0.08192316205191501
2000-12-29,-0.28625074483014934,0.0,-0.36518327616240237,-0.0816496280927836
2001-01-01,-0.2852364493153127,0.0,-0.36382738252894165,-0.08137881587712698
