Price,Ticker,Open,Open,Open,Open,Open,High,High,High,High,High,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume
,,mean,median,max,min,std,mean,median,max,min,std,mean,median,max,min,std,mean,median,max,min,std,mean,median,max,min,std
0,ABEV3.SA,6.971682025989394,7.191354413454166,17.496807831477234,0.24880877137184143,5.296111653267722,7.700620817162941,7.758176694044819,17.85299278462143,0.28974637389183044,5.765546162599246,6.363193830831014,6.6988856491900775,15.337874564675392,0.2235998511314392,4.817606198239774,7.074625501334667,7.2735066413879395,17.496803283691406,0.28974637389183044,5.2638929369707474,587016182.17,100665322.5,2247751700.0,322355.0,692140101.4114177
1,ALPA4.SA,11.893840179867249,7.5378351279640805,51.13629932740336,0.9321329593658448,11.659166765151104,13.852063813652027,8.396761436418942,60.58402873092515,1.1351901173961043,13.453379085411328,9.937082252730523,6.717563450556237,47.96762435612404,0.6461281964557956,9.60993077247747,11.92634775358088,7.552202939987183,51.320980072021484,0.9321329593658447,11.55385268713429,95395458.8235294,48488918.0,546608600.0,9297532.0,103807582.58072272
2,AMER3.SA,2812.090574914338,2247.9714888268895,10512.35376123168,4.690000057220459,2169.997155618525,3478.3998118252885,2946.2321093756514,12427.489122577035,18.139999389648438,2605.946518916592,2213.3556622837286,1771.1019565930155,8610.686270390559,3.069999933242798,1758.5819722028668,2776.184931105375,2254.332275390625,10401.5849609375,4.650000095367432,2177.013325544273,10007687.975,598155.0,337854800.0,112534.0,46800218.401377775
3,ASAI3.SA,14.240448125718455,14.06899803445392,18.585145038347353,7.385839615838077,2.9557021239048917,15.974740247764087,15.657613399487698,20.893615932432684,7.906384428899704,3.396641538968627,11.836327947614059,12.178155645583576,16.206574858285787,4.959905751307514,2.9701432295520567,13.698073238134384,14.071123123168945,19.04488182067871,5.529558181762695,3.682191932898353,829507962.5,705785400.0,1683082300.0,285619500.0,395357983.7171536
4,AZUL4.SA,26.160645069614535,24.049999237060547,58.779998779296875,6.25,13.201991330029383,32.04677404895906,29.920000076293945,62.869998931884766,6.809999942779541,14.727250934709366,19.910967842225105,20.190000534057617,46.709999084472656,3.240000009536743,11.417889992727087,25.45483862969183,23.920000076293945,58.279998779296875,3.5399999618530273,13.651908337701267,558249477.4193548,506509100.0,1818285100.0,35880000.0,455165693.8944621
5,B3SA3.SA,7.543821624091639,6.7598800266675445,18.95529251341351,1.7147822414296898,4.735153519881254,8.71679771572771,7.600727713041411,21.135993304099603,2.128231428790328,5.320670666989878,6.367599001709165,5.772382253599645,16.221039407803616,1.45769283590785,3.9604157692330184,7.409067672231923,6.792984485626221,19.178953170776367,1.7325210571289062,4.557373415843631,2027185332.4202898,2146899900.0,4738346550.0,218195800.0,828565177.4149175
6,BBAS3.SA,6.768712274919634,5.145158004013767,25.325617647552072,0.32356536388397217,6.133708893760091,7.861427135518039,5.663940930437775,27.19432165624506,0.3517483286702458,6.802725751610024,5.996286074162399,4.321393723863897,23.891434607658603,0.2877943080670993,5.643283967701459,6.97813134521246,5.193379163742065,25.400379180908203,0.32356536388397217,6.295245824389535,990733871.02,809383100.0,7594103808.0,30420000.0,1061493012.534064
7,BBDC3.SA,6.338689826552614,4.823859713656364,17.89388347008633,0.5752874036527095,4.605412527179025,7.1989009912734465,5.259956439429036,18.60638689805353,0.8270445775201777,5.144663761566248,5.587260398044743,4.358361791659508,14.576338885651094,0.538848969870764,3.959376937538519,6.418247041106224,4.868634223937988,17.753192901611328,0.5708705186843872,4.567869029101889,261489073.62,203190731.5,1367055411.0,12941819.0,216614747.2457744
8,BBDC4.SA,9.972332472348187,9.384779431077497,19.248517343631605,4.846076264918315,4.048312295652761,11.289644303424284,10.886201643455184,20.051202805255475,5.386242866516113,4.456316836252953,8.713816461152929,8.512177169541289,16.162609556694598,4.448592624115879,3.386155470813223,9.943719225771288,9.453236103057861,19.05882453918457,4.90986442565918,4.003993895124254,1631303897.735294,1285036155.5,5056400305.0,0.0,1056054683.1780068
9,BBSE3.SA,16.584831341014187,14.719098937778263,31.71095294007743,6.653967800006462,5.821369779285599,18.640390029840734,16.28309901856239,33.59776987883304,7.419468903875753,6.215418248179203,15.280554510083212,13.434421172883749,29.601635685993323,6.273181202843465,5.679405486337796,17.11262146970059,15.118163108825684,32.20045852661133,6.909134864807129,6.031990066673575,303066801.7446808,293560800.0,553877882.0,175584900.0,75030413.76956104
10,BEEF3.SA,7.560341732993279,7.8599275417962895,14.26800177199197,1.2781753540039062,2.7992829715607237,8.785817523220942,8.937630735558187,15.581203120765899,1.7463435144686663,3.0511903678637715,6.308294853281535,6.634205825829101,11.578436208498772,1.129550201079113,2.2985638812025275,7.416407857622419,7.734887599945068,13.636348724365234,1.2781753540039062,2.686688671085766,200671355.92857143,66146154.5,759020300.0,8659730.0,234238577.21424216
11,BPAN4.SA,5.15865653616592,4.795796349926842,21.218077947965533,1.052802913781761,3.5644770622645763,6.6411812378255135,5.8207668872566645,23.819907876058107,1.2714619818924855,4.882729139394243,4.1308611202474745,3.6477369583377177,13.701873511477961,0.9556211580983326,2.620952486869075,5.126230027364648,4.799324989318848,21.200454711914062,1.0447044372558594,3.5379667716121026,100438558.75362319,30293400.0,493379100.0,4672400.0,127555082.80024385
12,BRAP4.SA,4.792284611177405,2.371147540494854,22.20215094955129,0.20133377594209093,6.03715666935294,5.546116441376922,2.9845476958811332,24.58432982471004,0.25166723515701217,6.815141553966481,4.175551225734095,2.1955907587142054,18.9270996326155,0.19218212198272522,5.259511818057155,4.918738155514002,2.4477752447128296,22.181127548217773,0.20133371651172638,6.082830879315926,17184804011.62,249649399.0,407216000000.0,15862086.0,58243005208.10234
13,BRFS3.SA,41.73599843940855,19.483224234630427,729.2626953125,1.746673345565796,118.14936038712085,45.81700096631394,22.16746749306288,823.3590976022434,2.015392541885376,124.6929859833009,30.829727863883083,16.206813129167024,646.930908203125,1.6123136281967163,88.72795955607634,34.665753829479215,19.57793617248535,701.032958984375,1.746673345565796,95.59665556414686,276739532.36,150810501.0,1500128900.0,0.0,332743895.4366639
14,BRKM5.SA,27583.755505292695,16.229685028179986,1116267.2105172414,2.704821428179424,137529.41516037175,43573.9189907166,19.258909761475397,1257547.2354559698,3.5280283648081765,193259.65652825628,14544.800384682334,12.194173154503616,569777.5948893229,0.06824911385774612,75242.4156257515,27351.427212045193,15.096443176269531,1102294.5,2.6936213970184326,136191.7466482131,119611754.76,94155300.0,940148300.0,42088.0,132181502.15241991
15,BRPR3.SA,545.4079600076211,472.2095117071794,1990.0964080026688,131.1699981689453,258.47381496549923,641.6206457785623,526.653255512037,2613.089455547351,131.1699981689453,371.2151639021876,446.58650607161326,419.23301245925774,889.1581512571795,125.0,156.292530310255,538.8266156730006,468.2989501953125,1963.9873046875,131.1699981689453,260.9775655885863,102100.67796610169,77938.0,529008.0,0.0,87061.11587278901
16,CASH3.SA,21.466540800796142,11.433658599853516,81.64552307128906,4.001780033111572,21.50888044867683,30.783729045585808,13.503544807434082,126.24665069580078,4.001780033111572,34.21955002410296,14.612466280176037,9.955167770385742,50.43294906616211,2.493720054626465,13.375829900333871,20.450290707980884,10.645130157470703,80.97199249267578,2.7105650901794434,21.787402321006248,168296368.47058824,148120474.0,315368488.0,13467015.0,77621639.7762112
