Cod
ABEV3
BMT04
CPSL3
ENBR3
JBSS3
PETR4
SHAP4
TRJC6
ACES4
BNCA3
CRFB3
ENEV3
JHSF3
PETZ3
SLCE3
TRPL4
AEDU3
CRGT5
PMAM4
SMLS3
TSEP4
AGEI3
BPAN4
CRTP5
EPTE4
KLBN4
POMO4
SMTO3
TSPC3
BRAP4
CRUZ3
EQTL3
LAME4
POSI3
SOMA3
TSPC6
ALLL3
BRDT4
CSAN3
ERIC4
LAND3
PRIO3
SUBA3
ALPA4
BRFS3
CSIP6
EVEN3
LCAM3
PRML3
UGPA3
AMBV4
BRKM5
CSNA3
EZTC3
LIGT3
PRTX3
SUZB3
UGPA4
AMER3
BRML3
CSTB4
FIBR3
LIPR3
PTIP4
SUZB5
UNIP6
ARCE3
BRPR3
CTAХ4
FLRY3
LOGG3
QUAL3
SYNE3
USIM3
ARCE4
BRTP3
СТІРЗ
GEPA4
LREN3
RADL3
USIMS
ARCZ6
BRTP4
CVCB3
GETI4
LWSA3
RAIL3
TAMM4
USIM6
ARZZ3
CASH3
CYRE3
MGLU3
RAIZ4
TBLE6
VALE3
ASAI3
CCRO3
DASA3
GFSA3
MMXM3
RCTB31
TCOCA
VALES
ATMP3
CESP5
DURA4
GGBR4
MRFG3
RCTB41
TCSL4
VBBR3
AZUL4
CESP6
DXCO3
GNDI3
MRVE3
RDCD3
TELB3
VCPA4
B3SA3
CEVA4
EBEN4
GOAU4
MULT3
RDOR3
TELB4
VIIA3
BBAS3
CGAS5
EBTP3
GOLL4
NETC4
RENT3
TIMS3
VIVO3
BBAS4
CIEL3
ЕВТP4
HAPV3
NTCO3
REPA4
TLCP4
VIV04
BBDC3
CLSC1
ECOR3
HGTX3
OGXP3
RLOG3
TMAR5
VIVT3
BBDC4
CМЕТ4
EGIE3
HYPE3
OIBR3
RRRP3
TMAR6
VIVT4
BBSE3
CMIG3
ELET3
IGTA3
OIBR4
RSID3
TMCP4
BEEF3
CMIG4
ELET6
PALF3
RUMO3
TNEP4
WEGE3
BESP4
CMIN3
ELPL4
INEP4
PCAR3
TNLP3
WHMT3
COGN3
EMAE4
IRBR3
PCAR4
TNLP4
YDUQ3
BIDI4
CPFE3
EMBR3
ITSA4
PDGR3
SBSP3
TOTS3
BISA3
CPLE6
EMBR4
ITUB4
PETR3
SDIA4
TPRC6
