Date,Close,High,Low,Open,Volume
2007-09-21,4.1477861404418945,4.311558157895273,4.077597604618897,4.127732557556269,9107441
2007-09-24,4.341638565063477,4.344981065870496,4.111020233997406,4.194578202295046,1361832
2007-09-25,4.445250988006592,4.4619623573514,4.217974828658124,4.3249280476527705,1189394
2007-09-26,4.488699913024902,4.5822839640278925,4.42853887962631,4.445250246182322,1302924
2007-09-27,4.512096405029297,4.6758690069598305,4.482015885609141,4.512096405029297,1045160
2007-09-28,4.478672504425049,4.545517959315409,4.211288977909656,4.461960856210133,529095
2007-10-01,4.378403663635254,4.478672994921418,4.378403663635254,4.478672994921418,126026
2007-10-02,4.344982147216797,4.461962592266551,4.344982147216797,4.4118284815926465,587467
2007-10-03,4.344982147216797,4.344982147216797,4.19457924621021,4.244713356884114,675650
2007-10-04,4.341638565063477,4.344981065870496,4.177866551737045,4.344981065870496,989822
2007-10-05,4.311558246612549,4.311558246612549,4.244712494797714,4.24805471126536,959476
2007-10-08,4.378403663635254,4.4953843604742065,4.248054386440313,4.248054386440313,527846
2007-10-09,4.344982147216797,4.445251222041916,4.278136381825821,4.441909004895476,625489
2007-10-10,4.344982147216797,4.478674246983623,4.278136381825821,4.4018015456608905,328988
2007-10-11,4.344982147216797,4.431882068963721,4.31155912227509,4.431882068963721,424133
2007-10-15,4.54551887512207,4.672525947784036,4.4084851529018305,4.44525038809265,104248
2007-10-16,4.3917741775512695,4.57894289546132,4.3917741775512695,4.57894289546132,83362
2007-10-17,4.344982147216797,4.512096987432892,4.248055574030554,4.512096987432892,169760
2007-10-18,4.478672504425049,4.4953838681476395,4.344980456675026,4.344980456675026,61585
2007-10-19,4.478672504425049,4.5054105156857975,4.344980456675026,4.5054105156857975,4322732
2007-10-22,4.411827564239502,4.4719885983358525,4.24471247427928,4.344981243763035,392180
2007-10-23,4.278135776519775,4.408485356204787,4.278135776519775,4.378404268173205,186897
2007-10-24,4.344982147216797,4.348324364363236,4.278136381825821,4.28147859897226,834700
2007-10-25,4.2447123527526855,4.2814775861436285,4.2447123527526855,4.2814775861436285,658870
2007-10-26,4.344982147216797,4.378404887666067,4.31155912227509,4.375062670519627,107282
2007-10-29,4.2948455810546875,4.375060458976147,4.2948455810546875,4.314899158288906,933593
2007-10-30,4.2447123527526855,4.311558102330595,4.2447123527526855,4.308215885974792,145126
2007-10-31,4.341638565063477,4.572256896129548,4.31155804924686,4.344981065870496,374151
2007-11-01,4.311558246612549,4.311558246612549,4.27813551295132,4.3082160301449015,98536
2007-11-05,4.311558246612549,4.311558246612549,4.291504663314288,4.291504663314288,67832
2007-11-06,4.248054504394531,4.3449810531752195,4.248054504394531,4.311558036649239,371473
2007-11-07,4.264766216278076,4.311558098696994,4.261423715432721,4.311558098696994,31238
2007-11-08,3.9439055919647217,4.3416381110832685,3.9439055919647217,4.261423220964991,307746
2007-11-09,3.927194833755493,3.97732921894006,3.6798651243136633,3.97732921894006,1327201
2007-11-12,3.7801337242126465,3.9271949522136107,3.780133724212646,3.9271949522136107,21956
2007-11-13,3.877060651779175,3.977329427403692,3.8436373472478094,3.8436373472478094,104248
2007-11-14,3.9773285388946533,4.04417399505497,3.877059785669516,3.877059785669516,306318
2007-11-16,3.9773285388946533,4.024120415105341,3.9037980819305753,3.994039902934732,956620
2007-11-19,3.743368625640869,4.010752220826245,3.743368625640869,3.973986983600566,103177
2007-11-21,3.5094079971313477,3.7400263515526295,3.5094079971313477,3.709945832689695,636199
2007-11-22,3.58962345123291,3.6731805740147014,3.4893541073160597,3.5595423635654617,261870
2007-11-23,3.693234920501709,3.6932349205017085,3.5261197998453433,3.643100526551014,66047
2007-11-26,3.3422930240631104,3.7433677545223376,3.3422930240631104,3.7433677545223376,1487322
2007-11-27,3.6397571563720703,3.6397571563720703,3.275446792395699,3.278789008402248,1186716
2007-11-28,3.810213088989258,3.9271937633561933,3.5662256625298525,3.673179405694348,314708
2007-11-29,3.9940407276153564,3.9940407276153564,3.6765227538471312,3.6865496881384505,293108
2007-11-30,4.111020088195801,4.271450448502481,3.6798648106487444,4.111020088195801,227953
2007-12-03,3.9806714057922363,4.097651257695683,3.9806714057922363,4.01075192288213,70331
2007-12-04,3.9739866256713867,4.044174592604246,3.729999138377135,4.044174592604246,79792
2007-12-05,3.877060651779175,4.11102065408239,3.826925694982126,3.9906982940284066,1086752
2007-12-06,3.843636989593506,3.977329057309207,3.776791240228024,3.927194674162003,257229
2007-12-07,3.810213088989258,3.9439051256987256,3.743367355126826,3.9439051256987256,98357
2007-12-10,3.843636989593506,3.8770602910147995,3.6096767245681347,3.853664207613789,327917
2007-12-11,3.840294122695923,4.010751407437601,3.840294122695923,3.9004560026210977,662083
2007-12-12,3.7600791454315186,3.877059833112884,3.760079145431519,3.877059833112884,23562
2007-12-13,3.776791572570801,3.7767915725708003,3.6130195433371686,3.6664961475352844,657620
2007-12-14,3.643098831176758,3.843636029163917,3.62972968464428,3.843636029163917,82827
2007-12-17,3.4592745304107666,3.6096780182481654,3.4592745304107666,3.6096780182481654,365761
2007-12-18,3.576253890991211,3.5896230404862135,3.4759845585477933,3.562884172511488,39093
2007-12-19,3.7099454402923584,3.709945440292359,3.559542008408525,3.559542008408525,40878
2007-12-20,3.5929653644561768,3.6765224801819447,3.5695687120306663,3.6263883814419056,981254
2007-12-21,3.7600791454315186,3.877059833112884,3.7099450526977935,3.7099450526977935,51945
2007-12-26,3.877060651779175,3.877060651779175,3.743368571623292,3.8102143272088385,146375
2007-12-27,3.877060651779175,3.8937720195524625,3.7935029594355507,3.8937720195524625,142448
2007-12-28,4.010752201080322,4.211290038728257,3.943906444859276,3.9572755961034853,121027
2008-01-02,4.010752201080322,4.010752201080322,4.010752201080322,4.010752201080322,1249
2008-01-03,3.9773285388946533,4.010751266974811,3.9439055263221636,4.010751266974811,366832
2008-01-04,3.576253890991211,3.9773289448259996,3.5762538909912114,3.9773289448259996,275258
2008-01-07,3.6765224933624268,3.6765224933624263,3.559542075739182,3.5929653773371033,659405
2008-01-08,3.7099454402923584,3.7868178376455406,3.709945440292359,3.743368172273331,36951
2008-01-09,3.7600791454315186,3.760079145431519,3.576253569756523,3.6798645401590915,1758475
2008-01-10,3.7600791454315186,3.8436365356390643,3.6598106754717334,3.7333408488432647,59085
2008-01-11,3.5929653644561768,3.743368229661032,3.592965364456177,3.6765224801819447,343091
2008-01-14,3.5929653644561768,3.592965364456177,3.4826693799540367,3.5127498960965338,196001
